"badgeAssetPathTemplate","badgeMinValue","badgeMaxValue","isRequired"
"settings/itemflav/gcard_badge/account/winstreak.rpak",1,1,false
"settings/itemflav/gcard_badge/account/founder_pack.rpak",1,1,false
"settings/itemflav/gcard_badge/account/starter_pack.rpak",1,1,false
"settings/itemflav/gcard_badge/account/pack_victory.rpak",1,1,false
"settings/itemflav/gcard_badge/account/long_shot.rpak",1,1,false
"settings/itemflav/gcard_badge/account/blm_2021.rpak",1,1,false
"settings/itemflav/gcard_badge/account/pride_2021.rpak",1,1,false
"settings/itemflav/gcard_badge/account/stop_asian_hate_2021.rpak",1,1,false
"settings/itemflav/gcard_badge/account/suicide_awareness_2021.rpak",1,1,false
"settings/itemflav/gcard_badge/account/no_witnesses.rpak",1,1,false
"settings/itemflav/gcard_badge/%char%/apex_character.rpak",1,1,false
"settings/itemflav/gcard_badge/%char%/apex_predator.rpak",1,1,false
"settings/itemflav/gcard_badge/%char%/flawless_victory_1.rpak",1,1,false
"settings/itemflav/gcard_badge/%char%/shot_caller.rpak",1,1,false
"settings/itemflav/gcard_badge/%char%/no_one_left_behind.rpak",1,1,false
"settings/itemflav/gcard_badge/%char%/deadeye.rpak",1,1,false
"settings/itemflav/gcard_badge/%char%/the_legacy_continues.rpak",1,1,false
"string","int","int","bool"
