"characterAsset","exclude"
"settings/itemflav/character/ash.rpak",false
"settings/itemflav/character/ballistic.rpak",false
"settings/itemflav/character/bangalore.rpak",false
"settings/itemflav/character/bloodhound.rpak",false
"settings/itemflav/character/catalyst.rpak",false
"settings/itemflav/character/caustic.rpak",false
"settings/itemflav/character/crypto.rpak",false
"settings/itemflav/character/fuse.rpak",false
"settings/itemflav/character/gibraltar.rpak",false
"settings/itemflav/character/horizon.rpak",false
"settings/itemflav/character/lifeline.rpak",false
"settings/itemflav/character/loba.rpak",false
"settings/itemflav/character/madmaggie.rpak",false
"settings/itemflav/character/mirage.rpak",false
"settings/itemflav/character/newcastle.rpak",false
"settings/itemflav/character/octane.rpak",false
"settings/itemflav/character/pathfinder.rpak",false
"settings/itemflav/character/rampart.rpak",false
"settings/itemflav/character/revenant.rpak",false
"settings/itemflav/character/seer.rpak",false
"settings/itemflav/character/valkyrie.rpak",false
"settings/itemflav/character/vantage.rpak",false
"settings/itemflav/character/wattson.rpak",false
"settings/itemflav/character/wraith.rpak",false
"asset","bool"
