"featureFlag","name","alias","priority","perspective","canPlayIfSolo","legendFlavors","radioDisplayName","team","radioIntercept","vduVideo","dialogue"
"HAS_PATH_TT","bc_OlyPathTTRing_recalibrate","diag_ap_bNotify_recalibrating_3p",100,"",true,"","","",false,"",""
"HAS_PATH_TT","bc_OlyPathTTRing_run_away","diag_ap_bNotify_runsAway_3p",100,"",true,"","","",false,"",""
"HAS_PATH_TT","bc_OlyPathTTRing_enter_empty_ring","diag_ap_bNotify_entersRing_3p",100,"",true,"","","",false,"",""
"HAS_PATH_TT","bc_OlyPathTTRing_challenger","diag_ap_bNotify_challengeAccepted_3p",100,"",true,"","","",false,"",""
"HAS_PATH_TT","bc_OlyPathTTRing_killed","diag_ap_bNotify_killed_3p",100,"",true,"","","",false,"",""
"HAS_PATH_TT","bc_OlyPathTTRing_downed","diag_ap_bNotify_downed_3p",100,"",true,"","","",false,"",""
"HAS_PATH_TT","bc_OlyPathTTRing_flawless_win","diag_ap_bNotify_winNoDmg_3p",100,"",true,"","","",false,"",""
"HAS_PATH_TT","bc_OlyPathTTRing_chain_kill","diag_ap_bNotify_chainKill_3p",100,"",true,"","","",false,"",""
"HAS_PATH_TT","bc_OlyPathTTRing_recalibrate_ext","diag_ap_bNotify_recalibrating_ext",100,"",true,"","","",false,"",""
"HAS_PATH_TT","bc_OlyPathTTRing_run_away_ext","diag_ap_bNotify_runsAway_ext",100,"",true,"","","",false,"",""
"HAS_PATH_TT","bc_OlyPathTTRing_enter_empty_ring_ext","diag_ap_bNotify_entersRing_ext",100,"",true,"","","",false,"",""
"HAS_PATH_TT","bc_OlyPathTTRing_challenger_ext","diag_ap_bNotify_challengeAccepted_ext",100,"",true,"","","",false,"",""
"HAS_PATH_TT","bc_OlyPathTTRing_killed_ext","diag_ap_bNotify_killed_ext",100,"",true,"","","",false,"",""
"HAS_PATH_TT","bc_OlyPathTTRing_downed_ext","diag_ap_bNotify_downed_ext",100,"",true,"","","",false,"",""
"HAS_PATH_TT","bc_OlyPathTTRing_flawless_win_ext","diag_ap_bNotify_winNoDmg_ext",100,"",true,"","","",false,"",""
"HAS_PATH_TT","bc_OlyPathTTRing_chain_kill_ext","diag_ap_bNotify_chainKill_ext",100,"",true,"","","",false,"",""
"HAS_PATH_TT","bc_OlyRevTTRing_recalibrate","diag_ap_revNotify_recalibrating_3p",100,"",true,"","","",false,"",""
"HAS_PATH_TT","SR_OlyRevTTRing_runsAway","diag_ap_revNotify_runsAway_3p",100,"",true,"","","",false,"",""
"HAS_PATH_TT","SR_OlyRevTTRing_entersRing","diag_ap_revNotify_entersRing_3p",100,"",true,"","","",false,"",""
"HAS_PATH_TT","SR_OlyRevTTRing_challengeAccepted","diag_ap_revNotify_challengeAccepted_3p",100,"",true,"","","",false,"",""
"HAS_PATH_TT","SR_OlyRevTTRing_downed","diag_ap_revNotify_downed_3p",100,"",true,"","","",false,"",""
"HAS_PATH_TT","SR_OlyRevTTRing_killed","diag_ap_revNotify_killed_3p",100,"",true,"","","",false,"",""
"HAS_PATH_TT","SR_OlyRevTTRing_chainKill","diag_ap_revNotify_chainKill_3p",100,"",true,"","","",false,"",""
"HAS_PATH_TT","SR_OlyRevTTRing_winNoDmg","diag_ap_revNotify_winNoDmg_3p",100,"",true,"","","",false,"",""
"HAS_PATH_TT","bc_OlyRevTTRing_recalibrate_ext","diag_ap_revNotify_recalibrating_ext",100,"",true,"","","",false,"",""
"HAS_PATH_TT","SR_OlyRevTTRing_runsAway_ext","diag_ap_revNotify_runsAway_ext",100,"",true,"","","",false,"",""
"HAS_PATH_TT","SR_OlyRevTTRing_entersRing_ext","diag_ap_revNotify_entersRing_ext",100,"",true,"","","",false,"",""
"HAS_PATH_TT","SR_OlyRevTTRing_challengeAccepted_ext","diag_ap_revNotify_challengeAccepted_ext",100,"",true,"","","",false,"",""
"HAS_PATH_TT","SR_OlyRevTTRing_downed_ext","diag_ap_revNotify_downed_ext",100,"",true,"","","",false,"",""
"HAS_PATH_TT","SR_OlyRevTTRing_killed_ext","diag_ap_revNotify_killed_ext",100,"",true,"","","",false,"",""
"HAS_PATH_TT","SR_OlyRevTTRing_chainKill_ext","diag_ap_revNotify_chainKill_ext",100,"",true,"","","",false,"",""
"HAS_PATH_TT","SR_OlyRevTTRing_winNoDmg_ext","diag_ap_revNotify_winNoDmg_ext",100,"",true,"","","",false,"",""
"string","string","string","int","string","bool","string","string","string","bool","asset_noprecache","string"
